TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
ABSP,2017/01/03,B,6
ABSP,2017/01/03,S,2
ACG,2017/01/03,B,38
ACG,2017/01/03,S,9
ACL,2017/01/03,B,58
ACL,2017/01/03,S,50
ACT,2017/01/03,B,3
ACT,2017/01/03,S,6
ADE,2017/01/03,S,6
ADEO,2017/01/03,S,1
ADH,2017/01/03,B,327
ADH,2017/01/03,S,305
ADI,2017/01/03,B,28
ADI,2017/01/03,S,37
ADR,2017/01/03,B,15
ADR,2017/01/03,S,23
ADW,2017/01/03,B,4
ADW,2017/01/03,S,6
AEE,2017/01/03,B,2
AEE,2017/01/03,S,4
AEG,2017/01/03,B,99
AEG,2017/01/03,S,145
AEGCB,2017/01/03,S,1
AEL,2017/01/03,B,2
AEL,2017/01/03,S,4
AEN,2017/01/03,B,3
AEN,2017/01/03,S,4
AFE,2017/01/03,B,214
AFE,2017/01/03,S,190
AFH,2017/01/03,B,54
AFH,2017/01/03,S,86
AFT,2017/01/03,B,7
AFT,2017/01/03,S,12
AFX,2017/01/03,B,6
AFX,2017/01/03,S,4
AGL,2017/01/03,B,2281
AGL,2017/01/03,S,3021
AGLSBD,2017/01/03,B,1
AIA,2017/01/03,B,7
AIA,2017/01/03,S,1
AIP,2017/01/03,B,41
AIP,2017/01/03,S,48
ALH,2017/01/03,B,1
ALH,2017/01/03,S,4
ALP,2017/01/03,S,2
AMS,2017/01/03,B,652
AMS,2017/01/03,S,485
ANG,2017/01/03,B,2737
ANG,2017/01/03,S,2261
ANGSBL,2017/01/03,B,4
ANGSBL,2017/01/03,S,1
ANGSBN,2017/01/03,S,1
ANGSBO,2017/01/03,B,1
ANGSBY,2017/01/03,B,3
ANH,2017/01/03,B,168
ANH,2017/01/03,S,228
ANM,2017/01/03,S,1
ANS,2017/01/03,B,12
ANS,2017/01/03,S,2
AOX,2017/01/03,S,1
APF,2017/01/03,B,11
APF,2017/01/03,S,10
APK,2017/01/03,B,2
APK,2017/01/03,S,1
APN,2017/01/03,B,1945
APN,2017/01/03,S,1589
ARA,2017/01/03,B,5
ARA,2017/01/03,S,5
ARI,2017/01/03,B,488
ARI,2017/01/03,S,469
ARL,2017/01/03,B,348
ARL,2017/01/03,S,187
ARO,2017/01/03,S,1
ART,2017/01/03,B,1
ART,2017/01/03,S,4
ASC,2017/01/03,B,75
ASC,2017/01/03,S,62
ASHINF,2017/01/03,B,27
ASHINF,2017/01/03,S,5
ASHMID,2017/01/03,B,24
ASHMID,2017/01/03,S,5
ASHT40,2017/01/03,B,21
ASHT40,2017/01/03,S,4
ASR,2017/01/03,B,206
ASR,2017/01/03,S,216
ATL,2017/01/03,B,1
ATT,2017/01/03,B,218
ATT,2017/01/03,S,210
AVI,2017/01/03,B,834
AVI,2017/01/03,S,512
AVL,2017/01/03,B,4
AVL,2017/01/03,S,5
AWA,2017/01/03,B,28
