TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
ABL,2014/01/02,B,200
ABL,2014/01/02,S,211
ABLSBE,2014/01/02,B,1
ABLSBE,2014/01/02,S,1
ABSP,2014/01/02,B,2
ABSP,2014/01/02,S,5
ACL,2014/01/02,B,48
ACL,2014/01/02,S,40
ACP,2014/01/02,B,45
ACP,2014/01/02,S,14
ACT,2014/01/02,B,13
ACT,2014/01/02,S,11
ADH,2014/01/02,B,33
ADH,2014/01/02,S,45
ADI,2014/01/02,B,14
ADI,2014/01/02,S,17
ADR,2014/01/02,B,48
ADR,2014/01/02,S,41
ADW,2014/01/02,B,3
ADW,2014/01/02,S,9
AEG,2014/01/02,B,202
AEG,2014/01/02,S,319
AER,2014/01/02,B,8
AER,2014/01/02,S,11
AFE,2014/01/02,B,239
AFE,2014/01/02,S,269
AFR,2014/01/02,B,32
AFR,2014/01/02,S,32
AFT,2014/01/02,B,3
AFT,2014/01/02,S,7
AFX,2014/01/02,B,4
AFX,2014/01/02,S,1
AGL,2014/01/02,B,1329
AGL,2014/01/02,S,930
AGLIHL,2014/01/02,B,1
AGLSBB,2014/01/02,B,1
AGLSBB,2014/01/02,S,1
AGLSBC,2014/01/02,B,2
AGLSBC,2014/01/02,S,4
AIB,2014/01/02,S,3
AIP,2014/01/02,B,26
AIP,2014/01/02,S,21
AMS,2014/01/02,B,648
AMS,2014/01/02,S,491
ANG,2014/01/02,B,501
ANG,2014/01/02,S,512
ANGSBJ,2014/01/02,B,9
ANGSBJ,2014/01/02,S,3
ANGSBL,2014/01/02,B,4
ANGSBL,2014/01/02,S,1
ANGSBP,2014/01/02,S,2
ANGSTH,2014/01/02,S,1
ANM,2014/01/02,B,2
ANM,2014/01/02,S,1
ANP,2014/01/02,B,2
ANS,2014/01/02,B,1
AOX,2014/01/02,S,1
APF,2014/01/02,B,2
APF,2014/01/02,S,4
APK,2014/01/02,S,1
APN,2014/01/02,B,917
APN,2014/01/02,S,700
AQP,2014/01/02,B,33
AQP,2014/01/02,S,24
ARH,2014/01/02,S,3
ARI,2014/01/02,B,437
ARI,2014/01/02,S,417
ARL,2014/01/02,B,11
ARL,2014/01/02,S,9
ART,2014/01/02,B,7
ART,2014/01/02,S,6
ASC,2014/01/02,B,9
ASC,2014/01/02,S,1
ASO,2014/01/02,B,4
ASO,2014/01/02,S,1
ASR,2014/01/02,B,612
ASR,2014/01/02,S,259
ATL,2014/01/02,B,3
ATL,2014/01/02,S,1
ATN,2014/01/02,B,24
ATN,2014/01/02,S,1
ATNP,2014/01/02,B,35
ATNP,2014/01/02,S,44
ATT,2014/01/02,B,15
ATT,2014/01/02,S,16
AVI,2014/01/02,B,272
AVI,2014/01/02,S,225
AWA,2014/01/02,B,22
AWA,2014/01/02,S,9
AWB,2014/01/02,B,9
AWB,2014/01/02,S,3
AWT,2014/01/02,S,1
B2G,2014/01/02,S,1
BAT,2014/01/02,B,73
BAT,2014/01/02,S,57
BAU,2014/01/02,B,3
BAU,2014/01/02,S,3
BAW,2014/01/02,B,188
BAW,2014/01/02,S,153
BCF,2014/01/02,B,2
BCF,2014/01/02,S,4
BCX,2014/01/02,B,2
BCX,2014/01/02,S,1
BDM,2014/01/02,B,1
BDM,2014/01/02,S,3
BEG,2014/01/02,B,1
BEG,2014/01/02,S,1
BEL,2014/01/02,B,7
BEL,2014/01/02,S,8
BGA,2014/01/02,B,590
BGA,2014/01/02,S,412
BGANIH,2014/01/02,S,1
BIL,2014/01/02,B,975
BIL,2014/01/02,S,913
BILSBF,2014/01/02,B,1
BILSBF,2014/01/02,S,4
BLU,2014/01/02,B,43
BLU,2014/01/02,S,45
BMN,2014/01/02,S,1
BSR,2014/01/02,B,4
BSR,2014/01/02,S,5
BSS,2014/01/02,B,2
BTI,2014/01/02,B,706
BTI,2014/01/02,S,427
BTIIHC,2014/01/02,S,3
BVT,2014/01/02,B,1427
BVT,2014/01/02,S,699
BWH,2014/01/02,B,3
BWL,2014/01/02,S,1
CAT,2014/01/02,B,1
CBH,2014/01/02,S,2
CCO,2014/01/02,B,473
CCO,2014/01/02,S,235
CFR,2014/01/02,B,609
CFR,2014/01/02,S,741
CFRSBH,2014/01/02,B,3
CFRSBH,2014/01/02,S,1
CFRSBI,2014/01/02,B,1
CFRSBI,2014/01/02,S,2
CFRSBS,2014/01/02,B,2
CGR,2014/01/02,B,7
CGR,2014/01/02,S,2
CIL,2014/01/02,B,14
CIL,2014/01/02,S,2
CLH,2014/01/02,B,36
CLH,2014/01/02,S,31
CLI,2014/01/02,B,5
CLI,2014/01/02,S,3
CLR,2014/01/02,B,18
CLR,2014/01/02,S,7
CLS,2014/01/02,B,178
CLS,2014/01/02,S,125
CMH,2014/01/02,B,9
CMH,2014/01/02,S,24
CML,2014/01/02,B,175
CML,2014/01/02,S,145
CND,2014/01/02,B,12
CND,2014/01/02,S,5
