TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
CML,2013/01/02,B,200
CML,2013/01/02,S,325
CMP,2013/01/02,B,16
CMP,2013/01/02,S,30
COH,2013/01/02,B,6
COH,2013/01/02,S,8
COM,2013/01/02,B,34
COM,2013/01/02,S,11
CPI,2013/01/02,B,56
CPI,2013/01/02,S,100
CPIP,2013/01/02,B,4
CPIP,2013/01/02,S,1
CPL,2013/01/02,B,107
CPL,2013/01/02,S,67
CRD,2013/01/02,B,2
CSB,2013/01/02,B,6
CSB,2013/01/02,S,23
CSO,2013/01/02,B,225
CSO,2013/01/02,S,159
CSP,2013/01/02,B,2
CSP,2013/01/02,S,3
CVH,2013/01/02,B,14
CVH,2013/01/02,S,9
CVN,2013/01/02,B,9
CVN,2013/01/02,S,1
CZA,2013/01/02,B,83
CZA,2013/01/02,S,69
DAW,2013/01/02,B,1
DAW,2013/01/02,S,1
DBAGLD,2013/01/02,B,1
DBAGLD,2013/01/02,S,2
DBCHIN,2013/01/02,S,1
DBNPNH,2013/01/02,B,1
DBNPNH,2013/01/02,S,2
DBXEU,2013/01/02,B,4
DBXEU,2013/01/02,S,8
DBXJP,2013/01/02,S,2
DBXUK,2013/01/02,S,1
DBXUS,2013/01/02,B,2
DBXUS,2013/01/02,S,4
DBXWD,2013/01/02,B,4
DCT,2013/01/02,B,2
DGC,2013/01/02,B,9
DGC,2013/01/02,S,11
DIB,2013/01/02,B,1
DIB,2013/01/02,S,3
DLT,2013/01/02,B,1
DRD,2013/01/02,B,96
DRD,2013/01/02,S,26
DRN,2013/01/02,S,1
DST,2013/01/02,B,2
DST,2013/01/02,S,3
DSY,2013/01/02,B,453
DSY,2013/01/02,S,617
DTA,2013/01/02,S,1
DTC,2013/01/02,B,181
DTC,2013/01/02,S,191
EHS,2013/01/02,B,8
EHS,2013/01/02,S,2
ELI,2013/01/02,B,86
ELI,2013/01/02,S,79
ELR,2013/01/02,S,3
EMI,2013/01/02,B,39
EMI,2013/01/02,S,42
EOG,2013/01/02,S,1
EOH,2013/01/02,B,97
EOH,2013/01/02,S,55
EPS,2013/01/02,B,11
EPS,2013/01/02,S,10
EQS,2013/01/02,B,35
EQS,2013/01/02,S,11
ESR,2013/01/02,S,12
EXX,2013/01/02,B,1069
EXX,2013/01/02,S,1000
EXXSBD,2013/01/02,B,1
EXXSBE,2013/01/02,S,1
EXXSBF,2013/01/02,B,11
EXXSBF,2013/01/02,S,6
EXXSTG,2013/01/02,B,10
FBR,2013/01/02,B,7
FBR,2013/01/02,S,30
FCPD,2013/01/02,B,1
FFA,2013/01/02,B,1
FFA,2013/01/02,S,6
FGL,2013/01/02,B,4
FPT,2013/01/02,B,85
FPT,2013/01/02,S,139
FSE,2013/01/02,B,5
FSE,2013/01/02,S,2
FSR,2013/01/02,B,703
FSR,2013/01/02,S,704
FSRIHI,2013/01/02,B,1
FSRP,2013/01/02,B,4
FSRP,2013/01/02,S,1
FST,2013/01/02,B,1
FST,2013/01/02,S,1
FSY,2013/01/02,S,1
FWX,2013/01/02,B,2
FWX,2013/01/02,S,6
GDO,2013/01/02,B,8
GDO,2013/01/02,S,10
GFI,2013/01/02,B,1794
GFI,2013/01/02,S,2752
GFINII,2013/01/02,B,2
GFISBM,2013/01/02,B,8
GFISBM,2013/01/02,S,4
GFISTH,2013/01/02,B,8
GFISTH,2013/01/02,S,10
GGM,2013/01/02,B,5
GGM,2013/01/02,S,2
GIJ,2013/01/02,B,2
GIJ,2013/01/02,S,7
GLD,2013/01/02,B,46
GLD,2013/01/02,S,29
GLDSBB,2013/01/02,S,1
GND,2013/01/02,B,64
GND,2013/01/02,S,46
GNDP,2013/01/02,B,2
GNDSTG,2013/01/02,S,1
GPL,2013/01/02,B,4
GPL,2013/01/02,S,5
GRF,2013/01/02,B,1
GRF,2013/01/02,S,4
GRT,2013/01/02,B,337
GRT,2013/01/02,S,533
GRTIHA,2013/01/02,S,1
HAR,2013/01/02,B,834
HAR,2013/01/02,S,899
HARSBL,2013/01/02,B,2
HARSBL,2013/01/02,S,2
HARSBM,2013/01/02,B,1
HARSTG,2013/01/02,B,6
HARSTG,2013/01/02,S,9
HCI,2013/01/02,B,8
HCI,2013/01/02,S,33
HDC,2013/01/02,B,12
HDC,2013/01/02,S,17
HLM,2013/01/02,B,14
HLM,2013/01/02,S,5
HPA,2013/01/02,B,15
HPA,2013/01/02,S,11
HSP,2013/01/02,B,16
HSP,2013/01/02,S,18
HYP,2013/01/02,B,46
HYP,2013/01/02,S,51
IFH,2013/01/02,S,1
ILA,2013/01/02,B,3
ILA,2013/01/02,S,6
ILV,2013/01/02,B,13
ILV,2013/01/02,S,30
IMP,2013/01/02,B,1553
IMP,2013/01/02,S,2131
IMPSBC,2013/01/02,B,1
IMPSBP,2013/01/02,B,3
IMPSBP,2013/01/02,S,2
IMPSTG,2013/01/02,B,2
ING,2013/01/02,S,2
INL,2013/01/02,B,272
INL,2013/01/02,S,554
INLP,2013/01/02,B,2
INP,2013/01/02,B,374
INP,2013/01/02,S,283
INPR,2013/01/02,B,1
INPR,2013/01/02,S,3
IPF,2013/01/02,B,3
IPF,2013/01/02,S,10
IPL,2013/01/02,B,906
IPL,2013/01/02,S,1008
IPLP,2013/01/02,B,1
IPS,2013/01/02,B,3
IPS,2013/01/02,S,1
ISA,2013/01/02,B,1
ITE,2013/01/02,B,1
IVD,2013/01/02,S,1
IVT,2013/01/02,B,48
IVT,2013/01/02,S,135
IVTP,2013/01/02,B,1
JBL,2013/01/02,B,2
JBL,2013/01/02,S,5
JDG,2013/01/02,B,45
JDG,2013/01/02,S,73
JDH,2013/01/02,B,2
JDH,2013/01/02,S,1
JSC,2013/01/02,B,2
JSE,2013/01/02,B,142
JSE,2013/01/02,S,129
KAP,2013/01/02,B,2
KAP,2013/01/02,S,2
KEH,2013/01/02,B,6
KEH,2013/01/02,S,2
KGM,2013/01/02,B,2
KIO,2013/01/02,B,1207
KIO,2013/01/02,S,1300
KIOSBC,2013/01/02,B,6
KIOSBC,2013/01/02,S,4
KIOSBD,2013/01/02,B,2
