TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
1TM,2010/01/04,B,1
ABL,2010/01/04,B,424
ABL,2010/01/04,S,426
ABLP,2010/01/04,B,3
ABLP,2010/01/04,S,1
ABO,2010/01/04,S,4
ABSP,2010/01/04,B,1
ABSP,2010/01/04,S,4
ACL,2010/01/04,B,837
ACL,2010/01/04,S,359
ACLNIF,2010/01/04,B,1
ACLNIF,2010/01/04,S,1
ACLSBJ,2010/01/04,B,6
ACLSBL,2010/01/04,S,5
ACLSTD,2010/01/04,S,1
ACP,2010/01/04,B,4
ACP,2010/01/04,S,2
ADH,2010/01/04,B,3
ADH,2010/01/04,S,11
ADR,2010/01/04,B,4
ADR,2010/01/04,S,1
ADW,2010/01/04,S,3
AEG,2010/01/04,B,144
AEG,2010/01/04,S,129
AER,2010/01/04,S,1
AFE,2010/01/04,B,41
AFE,2010/01/04,S,13
AFP,2010/01/04,S,1
AFR,2010/01/04,B,4
AFR,2010/01/04,S,16
AFT,2010/01/04,B,1
AFT,2010/01/04,S,1
AFX,2010/01/04,B,37
AFX,2010/01/04,S,9
AGI,2010/01/04,B,7
AGI,2010/01/04,S,1
AGL,2010/01/04,B,822
AGL,2010/01/04,S,523
AGLIDI,2010/01/04,B,1
AGLIHF,2010/01/04,S,1
AGLIRQ,2010/01/04,B,2
AGLIRQ,2010/01/04,S,1
AGLNND,2010/01/04,B,2
AGLSBJ,2010/01/04,B,3
AGLSBJ,2010/01/04,S,2
AGLSBL,2010/01/04,B,8
AGLSBL,2010/01/04,S,1
AGLSBR,2010/01/04,S,5
AGLSBS,2010/01/04,B,7
AGLSBS,2010/01/04,S,3
AGLSTD,2010/01/04,B,1
AIP,2010/01/04,B,116
AIP,2010/01/04,S,78
ALT,2010/01/04,B,13
ALT,2010/01/04,S,15
AMA,2010/01/04,B,1
AMA,2010/01/04,S,1
AMS,2010/01/04,B,795
AMS,2010/01/04,S,694
AMSIRR,2010/01/04,B,1
AMSIRR,2010/01/04,S,7
AMSSBE,2010/01/04,B,1
AMSSBE,2010/01/04,S,1
AMSSBF,2010/01/04,B,1
AMSSBF,2010/01/04,S,1
ANG,2010/01/04,B,1089
ANG,2010/01/04,S,815
ANGIDH,2010/01/04,B,1
ANGNIF,2010/01/04,B,3
ANGNIF,2010/01/04,S,7
ANGSBC,2010/01/04,B,5
ANGSBC,2010/01/04,S,9
ANGSTD,2010/01/04,B,1
ANGSTD,2010/01/04,S,1
ANM,2010/01/04,B,2
ANS,2010/01/04,B,2
AOX,2010/01/04,B,1
APK,2010/01/04,B,1
APN,2010/01/04,B,257
APN,2010/01/04,S,295
AQP,2010/01/04,B,23
AQP,2010/01/04,S,24
ARH,2010/01/04,B,4
ARI,2010/01/04,B,235
ARI,2010/01/04,S,157
ARISTA,2010/01/04,B,1
ARL,2010/01/04,B,71
ARL,2010/01/04,S,26
ARQ,2010/01/04,B,1
ARQ,2010/01/04,S,2
ART,2010/01/04,S,8
ASA,2010/01/04,B,345
ASA,2010/01/04,S,282
ASO,2010/01/04,B,2
ASO,2010/01/04,S,2
ASR,2010/01/04,B,13
ATN,2010/01/04,B,1
ATN,2010/01/04,S,1
ATNP,2010/01/04,B,32
ATNP,2010/01/04,S,6
ATR,2010/01/04,B,1
ATR,2010/01/04,S,1
AVI,2010/01/04,B,36
AVI,2010/01/04,S,27
AVU,2010/01/04,B,4
AVU,2010/01/04,S,15
BAT,2010/01/04,B,3
BAT,2010/01/04,S,2
BAW,2010/01/04,B,202
BAW,2010/01/04,S,128
BAWSTD,2010/01/04,B,1
BCF,2010/01/04,B,2
BCF,2010/01/04,S,1
BCX,2010/01/04,B,3
BCX,2010/01/04,S,1
BEG,2010/01/04,B,12
BEG,2010/01/04,S,2
BFS,2010/01/04,B,13
BFS,2010/01/04,S,42
BIK,2010/01/04,B,1
BIL,2010/01/04,B,616
BIL,2010/01/04,S,328
BILIBE,2010/01/04,S,8
BILIHF,2010/01/04,B,1
BILIHF,2010/01/04,S,1
BILIRQ,2010/01/04,B,1
BILIRQ,2010/01/04,S,3
BILSBB,2010/01/04,B,1
BILSBC,2010/01/04,B,4
BILSBC,2010/01/04,S,4
BILSBD,2010/01/04,B,3
BILSBD,2010/01/04,S,3
BIO,2010/01/04,S,1
BIPINF,2010/01/04,B,1
BIPINF,2010/01/04,S,2
BIPS40,2010/01/04,B,9
BIPS40,2010/01/04,S,27
BJM,2010/01/04,B,5
BJM,2010/01/04,S,4
BLU,2010/01/04,B,7
BLU,2010/01/04,S,6
BMN,2010/01/04,S,1
BNT,2010/01/04,S,1
BSR,2010/01/04,B,41
BSR,2010/01/04,S,22
BSS,2010/01/04,S,1
BTI,2010/01/04,B,116
BTI,2010/01/04,S,122
BTIIHB,2010/01/04,S,1
BVT,2010/01/04,B,168
BVT,2010/01/04,S,201
BWI,2010/01/04,S,1
BWL,2010/01/04,B,1
CAE,2010/01/04,B,1
CAT,2010/01/04,B,3
CCI,2010/01/04,S,1
CDZ,2010/01/04,B,15
CDZ,2010/01/04,S,8
CFR,2010/01/04,B,138
CFR,2010/01/04,S,224
CLH,2010/01/04,B,43
CLH,2010/01/04,S,5
CLS,2010/01/04,B,28
CLS,2010/01/04,S,15
CMH,2010/01/04,S,1
CML,2010/01/04,B,18
CML,2010/01/04,S,30
CMO,2010/01/04,B,4
CMO,2010/01/04,S,2
CMP,2010/01/04,B,20
CMP,2010/01/04,S,5
CND,2010/01/04,S,2
COL,2010/01/04,S,1
COM,2010/01/04,S,1
CPI,2010/01/04,B,19
CPI,2010/01/04,S,10
CPIP,2010/01/04,S,1
CPL,2010/01/04,B,7
CPL,2010/01/04,S,1
CSB,2010/01/04,B,11
CSB,2010/01/04,S,1
CSP,2010/01/04,B,4
CVI,2010/01/04,S,4
CVN,2010/01/04,S,2
CZA,2010/01/04,B,9
CZA,2010/01/04,S,19
DAW,2010/01/04,B,1
DAW,2010/01/04,S,2
DBXEU,2010/01/04,B,2
DBXEU,2010/01/04,S,8
DBXJP,2010/01/04,B,2
DBXJP,2010/01/04,S,1
DBXUK,2010/01/04,B,6
DBXUK,2010/01/04,S,3
DBXUS,2010/01/04,B,4
DBXUS,2010/01/04,S,2
DBXWD,2010/01/04,B,7
DBXWD,2010/01/04,S,6
DCT,2010/01/04,B,2
DCT,2010/01/04,S,6
DDT,2010/01/04,B,82
DDT,2010/01/04,S,53
DDTSBF,2010/01/04,B,2
DDTSBF,2010/01/04,S,2
DDTSBG,2010/01/04,S,2
DDTSIE,2010/01/04,B,2
DDTSIE,2010/01/04,S,7
DGC,2010/01/04,B,35
DGC,2010/01/04,S,9
DMC,2010/01/04,B,1
DMC,2010/01/04,S,2
DON,2010/01/04,S,1
DRD,2010/01/04,B,35
DRD,2010/01/04,S,26
DST,2010/01/04,B,5
DST,2010/01/04,S,1
DSY,2010/01/04,B,202
DSY,2010/01/04,S,174
DTA,2010/01/04,S,2
DTC,2010/01/04,B,12
DTC,2010/01/04,S,12
DYL,2010/01/04,S,1
ELI,2010/01/04,B,3
ELI,2010/01/04,S,3
ELR,2010/01/04,B,1
ELR,2010/01/04,S,1
EMI,2010/01/04,B,9
EMI,2010/01/04,S,4
EOH,2010/01/04,B,3
EOH,2010/01/04,S,7
EPS,2010/01/04,B,8
EPS,2010/01/04,S,20
EQS,2010/01/04,B,122
EQS,2010/01/04,S,5
ERB,2010/01/04,S,3
ESR,2010/01/04,B,8
ESR,2010/01/04,S,4
EXT,2010/01/04,S,1
EXX,2010/01/04,B,427
EXX,2010/01/04,S,341
EXXSBI,2010/01/04,B,1
EXXSTD,2010/01/04,B,1
EXXSTD,2010/01/04,S,1
FBR,2010/01/04,B,2
FBR,2010/01/04,S,11
FCPD,2010/01/04,B,1
FCPD,2010/01/04,S,2
FFA,2010/01/04,B,1
FFB,2010/01/04,B,1
FGL,2010/01/04,S,2
FOS,2010/01/04,B,302
FOS,2010/01/04,S,282
FOSIHE,2010/01/04,B,1
FOSSTC,2010/01/04,B,3
FOSSTC,2010/01/04,S,1
FPT,2010/01/04,B,34
FPT,2010/01/04,S,9
FRT,2010/01/04,B,6
FRT,2010/01/04,S,1
FSR,2010/01/04,B,364
FSR,2010/01/04,S,204
FSRDBB,2010/01/04,B,1
FSRDBB,2010/01/04,S,1
FSRP,2010/01/04,B,11
FSRP,2010/01/04,S,6
FSRSBA,2010/01/04,B,1
FSRSBA,2010/01/04,S,1
FSRSBX,2010/01/04,B,2
FSRSBX,2010/01/04,S,1
FST,2010/01/04,B,2
FSY,2010/01/04,S,1
FWD,2010/01/04,B,1
FWD,2010/01/04,S,5
FWX,2010/01/04,B,3
FWX,2010/01/04,S,2
GBG,2010/01/04,B,2
GDF,2010/01/04,B,2
GDF,2010/01/04,S,1
GDN,2010/01/04,S,1
GDO,2010/01/04,B,18
GDO,2010/01/04,S,12
GFI,2010/01/04,B,1143
GFI,2010/01/04,S,1370
GFIDBD,2010/01/04,S,1
GFISBN,2010/01/04,S,8
GFISBO,2010/01/04,B,7
GFISBO,2010/01/04,S,7
GFISTE,2010/01/04,B,1
GFISTE,2010/01/04,S,1
GIJ,2010/01/04,B,4
GIJ,2010/01/04,S,3
GLD,2010/01/04,B,28
GLD,2010/01/04,S,29
GLDSBF,2010/01/04,B,1
GLDSBG,2010/01/04,S,1
GND,2010/01/04,B,97
GND,2010/01/04,S,86
GNDP,2010/01/04,S,2
GRF,2010/01/04,B,62
GRF,2010/01/04,S,45
GRT,2010/01/04,B,70
GRT,2010/01/04,S,140
HAR,2010/01/04,B,683
HAR,2010/01/04,S,548
HARNIF,2010/01/04,S,1
HARSBN,2010/01/04,B,15
HARSBN,2010/01/04,S,4
HARSBO,2010/01/04,B,6
HARSBO,2010/01/04,S,3
HARSTD,2010/01/04,B,9
HARSTD,2010/01/04,S,15
HDC,2010/01/04,B,3
HLM,2010/01/04,B,6
HPB,2010/01/04,B,8
HPB,2010/01/04,S,3
HUG,2010/01/04,B,2
