TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
1TM,2012/01/03,B,5
1TM,2012/01/03,S,2
ABL,2012/01/03,B,776
ABL,2012/01/03,S,744
ABLP,2012/01/03,S,3
ABLSTG,2012/01/03,S,2
ABSP,2012/01/03,B,2
ABSP,2012/01/03,S,4
ACL,2012/01/03,B,536
ACL,2012/01/03,S,157
ACLSBA,2012/01/03,S,1
ACLSTG,2012/01/03,B,1
ACLSTG,2012/01/03,S,2
ACP,2012/01/03,B,8
ACP,2012/01/03,S,5
ACT,2012/01/03,S,2
ACTP,2012/01/03,B,1
ADH,2012/01/03,B,7
ADH,2012/01/03,S,1
ADI,2012/01/03,B,2
ADR,2012/01/03,B,4
ADR,2012/01/03,S,4
AEG,2012/01/03,B,311
AEG,2012/01/03,S,250
AET,2012/01/03,B,2
AET,2012/01/03,S,4
AFE,2012/01/03,B,45
AFE,2012/01/03,S,17
AFP,2012/01/03,B,1
AFR,2012/01/03,B,31
AFR,2012/01/03,S,34
AFT,2012/01/03,B,15
AFT,2012/01/03,S,8
AFX,2012/01/03,B,9
AFX,2012/01/03,S,12
AGL,2012/01/03,B,1489
AGL,2012/01/03,S,1490
AGLIHJ,2012/01/03,S,2
AGLNII,2012/01/03,S,1
AGLNNF,2012/01/03,S,1
AGLSBE,2012/01/03,B,28
AGLSBE,2012/01/03,S,7
AGLSBF,2012/01/03,B,8
AGLSBF,2012/01/03,S,5
AGLSBG,2012/01/03,B,10
AGLSBG,2012/01/03,S,1
AGLSBY,2012/01/03,S,7
AGLSTF,2012/01/03,B,14
AGLSTF,2012/01/03,S,10
AIP,2012/01/03,B,129
AIP,2012/01/03,S,40
ALT,2012/01/03,B,12
ALT,2012/01/03,S,4
AMA,2012/01/03,B,7
AMA,2012/01/03,S,3
AMS,2012/01/03,B,420
AMS,2012/01/03,S,506
AMSSBM,2012/01/03,B,1
AMSSBM,2012/01/03,S,1
AMSSBN,2012/01/03,S,1
ANG,2012/01/03,B,1056
ANG,2012/01/03,S,1366
ANGSBJ,2012/01/03,B,7
ANGSBJ,2012/01/03,S,2
ANGSBL,2012/01/03,B,3
ANGSBL,2012/01/03,S,11
ANGSBM,2012/01/03,B,13
ANGSBM,2012/01/03,S,1
ANM,2012/01/03,B,1
ANS,2012/01/03,B,1
ANS,2012/01/03,S,6
AOX,2012/01/03,B,1
APK,2012/01/03,B,2
APK,2012/01/03,S,1
APN,2012/01/03,B,560
APN,2012/01/03,S,405
AQP,2012/01/03,B,37
AQP,2012/01/03,S,39
ARH,2012/01/03,B,3
ARI,2012/01/03,B,956
ARI,2012/01/03,S,398
ARL,2012/01/03,B,76
ARL,2012/01/03,S,52
ARQ,2012/01/03,S,1
ART,2012/01/03,B,2
ART,2012/01/03,S,7
ASA,2012/01/03,B,772
ASA,2012/01/03,S,481
ASR,2012/01/03,B,261
ASR,2012/01/03,S,114
ATN,2012/01/03,B,7
ATN,2012/01/03,S,19
ATNP,2012/01/03,B,12
ATNP,2012/01/03,S,2
ATR,2012/01/03,B,1
ATR,2012/01/03,S,1
AVI,2012/01/03,B,403
AVI,2012/01/03,S,443
AVU,2012/01/03,B,8
AVU,2012/01/03,S,11
AWA,2012/01/03,B,82
AWA,2012/01/03,S,234
AWB,2012/01/03,B,88
AWB,2012/01/03,S,93
BAT,2012/01/03,B,141
BAT,2012/01/03,S,145
BAU,2012/01/03,B,1
BAW,2012/01/03,B,381
BAW,2012/01/03,S,165
BBET40,2012/01/03,B,1
BCF,2012/01/03,B,12
BCF,2012/01/03,S,4
BCX,2012/01/03,B,29
BCX,2012/01/03,S,28
BDM,2012/01/03,B,7
BDM,2012/01/03,S,2
BEG,2012/01/03,B,7
BEL,2012/01/03,B,6
BEL,2012/01/03,S,1
BFS,2012/01/03,B,5
BFS,2012/01/03,S,1
BGREEN,2012/01/03,B,1
BIK,2012/01/03,S,1
BIL,2012/01/03,B,1493
BIL,2012/01/03,S,1432
BILIHI,2012/01/03,S,2
BILNIH,2012/01/03,S,1
BILSBL,2012/01/03,B,12
BILSBL,2012/01/03,S,3
BILSBM,2012/01/03,B,8
BILSBM,2012/01/03,S,2
BILSBN,2012/01/03,B,9
BILSBN,2012/01/03,S,2
BILSBU,2012/01/03,B,3
BILSBU,2012/01/03,S,14
BILSTH,2012/01/03,B,8
BILSTH,2012/01/03,S,10
BIPINF,2012/01/03,B,3
BIPINF,2012/01/03,S,1
BIPS40,2012/01/03,B,5
BIPS40,2012/01/03,S,6
BLU,2012/01/03,B,8
BLU,2012/01/03,S,10
BMN,2012/01/03,S,1
BSR,2012/01/03,B,4
BSR,2012/01/03,S,2
BSS,2012/01/03,B,6
BTI,2012/01/03,B,406
BTI,2012/01/03,S,362
BTIIHA,2012/01/03,B,1
BTIIHA,2012/01/03,S,1
BVT,2012/01/03,B,644
BVT,2012/01/03,S,720
BWI,2012/01/03,S,4
BWL,2012/01/03,B,1
CAP,2012/01/03,B,1
CBH,2012/01/03,B,4
CBH,2012/01/03,S,2
CCO,2012/01/03,B,84
CCO,2012/01/03,S,71
CDZ,2012/01/03,B,3
CDZ,2012/01/03,S,2
CFR,2012/01/03,B,732
CFR,2012/01/03,S,755
CFRNID,2012/01/03,B,1
CFRNID,2012/01/03,S,10
CFRSBB,2012/01/03,B,12
