TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
ABSP,2015/01/02,S,7
ACE,2015/01/02,B,1
ACG,2015/01/02,B,14
ACG,2015/01/02,S,7
ACL,2015/01/02,B,182
ACL,2015/01/02,S,178
ACP,2015/01/02,B,12
ACP,2015/01/02,S,39
ACT,2015/01/02,B,6
ACT,2015/01/02,S,9
ADH,2015/01/02,B,4
ADH,2015/01/02,S,9
ADI,2015/01/02,B,7
ADI,2015/01/02,S,4
ADR,2015/01/02,B,8
ADR,2015/01/02,S,13
ADW,2015/01/02,S,3
AEG,2015/01/02,B,49
AEG,2015/01/02,S,93
AEL,2015/01/02,B,2
AEL,2015/01/02,S,6
AFE,2015/01/02,B,62
AFE,2015/01/02,S,39
AFH,2015/01/02,B,40
AFH,2015/01/02,S,45
AFT,2015/01/02,B,5
AFT,2015/01/02,S,7
AFX,2015/01/02,B,4
AFX,2015/01/02,S,7
AGL,2015/01/02,B,663
AGL,2015/01/02,S,1435
AGLSBF,2015/01/02,S,1
AGLSTI,2015/01/02,B,1
AGLSTI,2015/01/02,S,3
AIA,2015/01/02,B,1
AIB,2015/01/02,B,9
AIB,2015/01/02,S,21
AIP,2015/01/02,B,123
AIP,2015/01/02,S,143
AMS,2015/01/02,B,778
AMS,2015/01/02,S,599
AMSSBM,2015/01/02,S,1
AMSSBP,2015/01/02,B,6
ANG,2015/01/02,B,549
ANG,2015/01/02,S,784
ANGSBS,2015/01/02,B,1
ANGSBS,2015/01/02,S,2
ANGSTJ,2015/01/02,B,1
ANGSTJ,2015/01/02,S,7
ANM,2015/01/02,S,1
ANS,2015/01/02,S,1
AOX,2015/01/02,B,1
AOX,2015/01/02,S,1
APK,2015/01/02,B,1
APK,2015/01/02,S,1
APN,2015/01/02,B,622
APN,2015/01/02,S,664
AQP,2015/01/02,B,23
AQP,2015/01/02,S,26
ARH,2015/01/02,B,1
ARI,2015/01/02,B,72
ARI,2015/01/02,S,95
ARL,2015/01/02,B,166
ARL,2015/01/02,S,220
ART,2015/01/02,B,1
ART,2015/01/02,S,2
ASC,2015/01/02,B,3
ASC,2015/01/02,S,7
ASO,2015/01/02,B,1
ASO,2015/01/02,S,6
ASR,2015/01/02,B,320
ASR,2015/01/02,S,219
ATL,2015/01/02,S,4
ATT,2015/01/02,B,49
ATT,2015/01/02,S,30
AVI,2015/01/02,B,269
AVI,2015/01/02,S,250
AVL,2015/01/02,B,3
AVL,2015/01/02,S,5
AWA,2015/01/02,B,11
AWA,2015/01/02,S,8
AWB,2015/01/02,B,8
AWB,2015/01/02,S,15
B2G,2015/01/02,S,1
BAT,2015/01/02,B,245
BAT,2015/01/02,S,286
BAW,2015/01/02,B,658
BAW,2015/01/02,S,669
BBET40,2015/01/02,B,1
BBET40,2015/01/02,S,2
BCF,2015/01/02,B,4
BCX,2015/01/02,B,2
BCX,2015/01/02,S,1
BDM,2015/01/02,B,4
BEL,2015/01/02,B,2
BEL,2015/01/02,S,1
BGA,2015/01/02,B,571
BGA,2015/01/02,S,609
BGASBE,2015/01/02,S,1
BIL,2015/01/02,B,467
BIL,2015/01/02,S,772
BLU,2015/01/02,B,17
BLU,2015/01/02,S,31
BMN,2015/01/02,S,1
BNPWOR,2015/01/02,S,1
BRT,2015/01/02,S,1
