TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
4SI,2018/01/02,B,7
4SI,2018/01/02,S,6
ABSP,2018/01/02,B,1
ABSP,2018/01/02,S,3
ACG,2018/01/02,B,3
ACG,2018/01/02,S,22
ACL,2018/01/02,B,23
ACL,2018/01/02,S,32
ACS,2018/01/02,B,1
ACT,2018/01/02,B,5
ACT,2018/01/02,S,4
ADE,2018/01/02,B,6
ADE,2018/01/02,S,2
ADEO,2018/01/02,S,3
ADH,2018/01/02,B,145
ADH,2018/01/02,S,102
ADI,2018/01/02,B,31
ADI,2018/01/02,S,23
ADR,2018/01/02,B,22
ADR,2018/01/02,S,7
ADW,2018/01/02,B,3
ADW,2018/01/02,S,1
AEE,2018/01/02,B,5
AEE,2018/01/02,S,5
AEG,2018/01/02,B,66
AEG,2018/01/02,S,45
AEL,2018/01/02,B,10
AEL,2018/01/02,S,21
AFE,2018/01/02,B,302
AFE,2018/01/02,S,315
AFH,2018/01/02,B,75
AFH,2018/01/02,S,138
AFT,2018/01/02,B,13
AFT,2018/01/02,S,19
AFX,2018/01/02,B,21
AFX,2018/01/02,S,25
AGL,2018/01/02,B,1887
AGL,2018/01/02,S,1235
AHL,2018/01/02,S,1
AIL,2018/01/02,B,16
AIL,2018/01/02,S,17
AIP,2018/01/02,B,81
AIP,2018/01/02,S,68
ALH,2018/01/02,B,1
ALH,2018/01/02,S,1
AME,2018/01/02,B,2
AME,2018/01/02,S,3
AMIB50,2018/01/02,B,1
AMIB50,2018/01/02,S,2
AMS,2018/01/02,B,708
AMS,2018/01/02,S,981
AMSSBB,2018/01/02,B,2
AMSSBB,2018/01/02,S,8
ANA,2018/01/02,B,2
ANG,2018/01/02,B,1467
ANG,2018/01/02,S,1524
ANGSBE,2018/01/02,B,5
ANGSBE,2018/01/02,S,1
ANH,2018/01/02,B,209
ANH,2018/01/02,S,190
ANM,2018/01/02,S,1
ANS,2018/01/02,B,8
ANS,2018/01/02,S,13
AOX,2018/01/02,S,1
APF,2018/01/02,B,2
APF,2018/01/02,S,7
APN,2018/01/02,B,2449
APN,2018/01/02,S,2056
ARA,2018/01/02,B,6
ARA,2018/01/02,S,5
ARH,2018/01/02,B,1
ARI,2018/01/02,B,278
ARI,2018/01/02,S,493
ARL,2018/01/02,B,335
ARL,2018/01/02,S,337
ARO,2018/01/02,S,1
ART,2018/01/02,B,15
ART,2018/01/02,S,7
ASC,2018/01/02,B,27
ASC,2018/01/02,S,42
ASHGEQ,2018/01/02,B,16
ASHGEQ,2018/01/02,S,5
ASHINF,2018/01/02,B,10
ASHINF,2018/01/02,S,3
ASHMID,2018/01/02,B,23
ASHMID,2018/01/02,S,12
ASHT40,2018/01/02,B,19
ASHT40,2018/01/02,S,18
ASR,2018/01/02,B,288
ASR,2018/01/02,S,240
ATT,2018/01/02,B,64
ATT,2018/01/02,S,93
AVI,2018/01/02,B,622
AVI,2018/01/02,S,516
AVL,2018/01/02,B,1
AVL,2018/01/02,S,4
AVV,2018/01/02,B,11
AVV,2018/01/02,S,12
AWA,2018/01/02,B,88
AWA,2018/01/02,S,52
AXL,2018/01/02,B,11
AXL,2018/01/02,S,32
AXLP,2018/01/02,B,3
AXLP,2018/01/02,S,1
AYO,2018/01/02,S,2
B2G,2018/01/02,S,1
BAT,2018/01/02,B,226
BAT,2018/01/02,S,219
BATSBG,2018/01/02,S,1
BATSBH,2018/01/02,S,1
BAU,2018/01/02,B,8
BAU,2018/01/02,S,7
BAW,2018/01/02,B,446
BAW,2018/01/02,S,500
BCF,2018/01/02,B,4
BCF,2018/01/02,S,3
BDM,2018/01/02,B,3
BDM,2018/01/02,S,1
BEL,2018/01/02,B,10
BEL,2018/01/02,S,13
BGA,2018/01/02,B,2145
BGA,2018/01/02,S,1870
BID,2018/01/02,B,1007
BID,2018/01/02,S,1646
BIL,2018/01/02,B,1450
BIL,2018/01/02,S,1160
BILSTO,2018/01/02,S,1
BLU,2018/01/02,B,185
BLU,2018/01/02,S,198
BMN,2018/01/02,S,1
BRN,2018/01/02,B,1
BRT,2018/01/02,B,1
BSR,2018/01/02,B,12
BSR,2018/01/02,S,1
BSS,2018/01/02,B,5
BSS,2018/01/02,S,4
BTI,2018/01/02,B,1607
BTI,2018/01/02,S,958
BTIIHH,2018/01/02,S,1
BTISTF,2018/01/02,B,1
BVT,2018/01/02,B,808
BVT,2018/01/02,S,1164
BWL,2018/01/02,S,1
BWN,2018/01/02,B,9
BWZ,2018/01/02,B,1
CCO,2018/01/02,B,206
CCO,2018/01/02,S,159
CFR,2018/01/02,B,1162
CFR,2018/01/02,S,1066
CGR,2018/01/02,B,12
CGR,2018/01/02,S,12
CHP,2018/01/02,B,10
CHP,2018/01/02,S,2
CIL,2018/01/02,B,87
CIL,2018/01/02,S,53
CKS,2018/01/02,S,2
CLH,2018/01/02,B,58
CLH,2018/01/02,S,79
CLI,2018/01/02,S,4
CLN,2018/01/02,S,1
CLR,2018/01/02,S,9
CLS,2018/01/02,B,517
CLS,2018/01/02,S,1099
CMB,2018/01/02,S,1
CMH,2018/01/02,B,6
CMH,2018/01/02,S,9
CML,2018/01/02,B,589
CML,2018/01/02,S,813
CMO,2018/01/02,B,1
CMO,2018/01/02,S,1
CND,2018/01/02,B,1
COH,2018/01/02,B,375
COH,2018/01/02,S,565
COM,2018/01/02,B,1
COM,2018/01/02,S,2
CPI,2018/01/02,B,1047
CPI,2018/01/02,S,1171
CPIP,2018/01/02,S,2
CRP,2018/01/02,B,9
