TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
1TM,2011/01/03,B,2
1TM,2011/01/03,S,6
ABL,2011/01/03,B,669
ABL,2011/01/03,S,469
ABLP,2011/01/03,B,2
ABLP,2011/01/03,S,2
ABLSTF,2011/01/03,B,3
ABLSTF,2011/01/03,S,3
ABSP,2011/01/03,B,4
ABSP,2011/01/03,S,6
ACE,2011/01/03,S,1
ACL,2011/01/03,B,396
ACL,2011/01/03,S,368
ACP,2011/01/03,B,3
ACP,2011/01/03,S,31
ADH,2011/01/03,B,2
ADH,2011/01/03,S,7
ADI,2011/01/03,S,1
ADR,2011/01/03,B,5
ADR,2011/01/03,S,8
ADW,2011/01/03,B,1
ADW,2011/01/03,S,2
AEG,2011/01/03,B,389
AEG,2011/01/03,S,272
AER,2011/01/03,S,1
AET,2011/01/03,S,3
AFE,2011/01/03,B,20
AFE,2011/01/03,S,28
AFP,2011/01/03,S,1
AFR,2011/01/03,B,7
AFR,2011/01/03,S,1
AFT,2011/01/03,S,2
AFX,2011/01/03,B,29
AFX,2011/01/03,S,17
AGL,2011/01/03,B,530
AGL,2011/01/03,S,489
AGLNIH,2011/01/03,B,1
AGLNIH,2011/01/03,S,1
AGLSBA,2011/01/03,B,3
AGLSBA,2011/01/03,S,4
AGLSBN,2011/01/03,B,1
AGLSBO,2011/01/03,B,1
AGLSBV,2011/01/03,B,1
AGLSBV,2011/01/03,S,1
AIP,2011/01/03,B,80
AIP,2011/01/03,S,131
ALT,2011/01/03,B,18
ALT,2011/01/03,S,17
AMA,2011/01/03,B,4
AMA,2011/01/03,S,3
AMS,2011/01/03,B,1253
AMS,2011/01/03,S,485
AMSSBH,2011/01/03,B,1
AMSSBH,2011/01/03,S,1
AMSSBJ,2011/01/03,B,2
AMSSBJ,2011/01/03,S,2
AND,2011/01/03,B,1
AND,2011/01/03,S,4
ANG,2011/01/03,B,678
ANG,2011/01/03,S,518
ANGSBE,2011/01/03,S,1
ANGSBG,2011/01/03,S,1
ANM,2011/01/03,B,1
ANS,2011/01/03,B,10
ANS,2011/01/03,S,3
AOX,2011/01/03,B,1
APKP,2011/01/03,B,1
APKP,2011/01/03,S,1
APN,2011/01/03,B,637
APN,2011/01/03,S,204
AQP,2011/01/03,B,13
AQP,2011/01/03,S,14
ARH,2011/01/03,B,1
ARI,2011/01/03,B,637
ARI,2011/01/03,S,622
ARL,2011/01/03,B,34
ARL,2011/01/03,S,18
ARQ,2011/01/03,B,6
ARQ,2011/01/03,S,10
ART,2011/01/03,B,8
ART,2011/01/03,S,6
ASA,2011/01/03,B,676
ASA,2011/01/03,S,350
ASASBA,2011/01/03,S,3
ASASBO,2011/01/03,B,2
ASASBO,2011/01/03,S,3
ASO,2011/01/03,B,1
ASR,2011/01/03,B,17
ASR,2011/01/03,S,14
ATN,2011/01/03,B,19
ATN,2011/01/03,S,6
ATNP,2011/01/03,B,25
ATNP,2011/01/03,S,34
ATR,2011/01/03,B,8
ATR,2011/01/03,S,1
AVI,2011/01/03,B,122
AVI,2011/01/03,S,105
AVU,2011/01/03,B,4
AVU,2011/01/03,S,1
AWT,2011/01/03,B,3
AWT,2011/01/03,S,1
BAT,2011/01/03,B,62
BAT,2011/01/03,S,79
BAW,2011/01/03,B,232
BAW,2011/01/03,S,121
BBET40,2011/01/03,B,2
BBET40,2011/01/03,S,2
BCD,2011/01/03,S,1
BCF,2011/01/03,B,1
BCX,2011/01/03,B,4
BCX,2011/01/03,S,2
BDM,2011/01/03,B,3
BDM,2011/01/03,S,1
BEG,2011/01/03,B,3
BEG,2011/01/03,S,3
BEL,2011/01/03,S,2
BFS,2011/01/03,B,3
BIK,2011/01/03,B,2
BIK,2011/01/03,S,2
BIL,2011/01/03,B,697
BIL,2011/01/03,S,449
BILIHG,2011/01/03,B,1
BILIHG,2011/01/03,S,3
BILSBG,2011/01/03,B,5
BILSBG,2011/01/03,S,4
BILSBR,2011/01/03,B,1
BILSBR,2011/01/03,S,1
BILSBS,2011/01/03,B,1
BILSTG,2011/01/03,B,2
BILSTG,2011/01/03,S,1
BIPINF,2011/01/03,B,3
BIPS40,2011/01/03,B,1
BIPS40,2011/01/03,S,9
BLU,2011/01/03,B,2
BLU,2011/01/03,S,3
BMN,2011/01/03,S,1
BRN,2011/01/03,B,1
BRN,2011/01/03,S,2
BRT,2011/01/03,B,1
BRT,2011/01/03,S,2
BSR,2011/01/03,B,15
BSR,2011/01/03,S,5
BTI,2011/01/03,B,198
BTI,2011/01/03,S,91
BVT,2011/01/03,B,644
BVT,2011/01/03,S,423
BWI,2011/01/03,B,3
BWI,2011/01/03,S,3
BWL,2011/01/03,B,1
CAP,2011/01/03,B,4
CAT,2011/01/03,B,3
CAT,2011/01/03,S,8
CBH,2011/01/03,B,1
CCO,2011/01/03,B,29
CCO,2011/01/03,S,16
CDZ,2011/01/03,B,7
CDZ,2011/01/03,S,2
CFR,2011/01/03,B,210
CFR,2011/01/03,S,170
CFRSBT,2011/01/03,B,1
CGR,2011/01/03,B,1
CIL,2011/01/03,B,2
CIL,2011/01/03,S,1
CKS,2011/01/03,B,3
CLH,2011/01/03,B,17
CLH,2011/01/03,S,39
CLR,2011/01/03,B,22
CLR,2011/01/03,S,3
CLRP,2011/01/03,B,1
CLRP,2011/01/03,S,3
CLS,2011/01/03,B,272
CLS,2011/01/03,S,196
CMG,2011/01/03,S,2
CMH,2011/01/03,B,4
CMH,2011/01/03,S,2
CML,2011/01/03,B,79
CML,2011/01/03,S,70
CMO,2011/01/03,B,1
CMP,2011/01/03,B,32
CMP,2011/01/03,S,46
COM,2011/01/03,B,1
COM,2011/01/03,S,3
CPI,2011/01/03,B,29
CPI,2011/01/03,S,24
CPIN,2011/01/03,B,35
CPIN,2011/01/03,S,15
CPIP,2011/01/03,S,2
CPL,2011/01/03,B,15
CPL,2011/01/03,S,12
CRM,2011/01/03,B,1
CSB,2011/01/03,B,31
CSB,2011/01/03,S,3
CSO,2011/01/03,B,145
CSO,2011/01/03,S,95
CSP,2011/01/03,B,12
CSP,2011/01/03,S,2
CZA,2011/01/03,B,14
CZA,2011/01/03,S,10
DAW,2011/01/03,B,5
DBXEU,2011/01/03,B,3
DBXEU,2011/01/03,S,5
DBXJP,2011/01/03,B,1
DBXJP,2011/01/03,S,2
DBXUK,2011/01/03,B,5
DBXUK,2011/01/03,S,1
DBXUS,2011/01/03,B,3
DBXUS,2011/01/03,S,1
DBXWD,2011/01/03,B,4
DBXWD,2011/01/03,S,1
DCT,2011/01/03,B,6
DCT,2011/01/03,S,4
DGC,2011/01/03,S,2
DLG,2011/01/03,S,1
DON,2011/01/03,S,1
DRD,2011/01/03,B,51
DRD,2011/01/03,S,62
DST,2011/01/03,B,1
DSY,2011/01/03,B,394
DSY,2011/01/03,S,86
DTC,2011/01/03,B,21
DTC,2011/01/03,S,6
DYL,2011/01/03,B,1
EHS,2011/01/03,B,11
EHS,2011/01/03,S,13
ELI,2011/01/03,B,20
ELI,2011/01/03,S,15
EMI,2011/01/03,B,3
EMI,2011/01/03,S,1
EOH,2011/01/03,B,15
EOH,2011/01/03,S,23
EPS,2011/01/03,S,5
EQS,2011/01/03,B,10
EQS,2011/01/03,S,3
ESR,2011/01/03,B,8
ESR,2011/01/03,S,4
EXT,2011/01/03,B,1
EXX,2011/01/03,B,867
EXX,2011/01/03,S,668
EXXSBL,2011/01/03,B,3
EXXSBL,2011/01/03,S,2
EXXSBM,2011/01/03,B,2
EXXSBM,2011/01/03,S,1
EXXSBU,2011/01/03,S,2
FBR,2011/01/03,B,12
FBR,2011/01/03,S,28
FFB,2011/01/03,B,1
FPT,2011/01/03,B,18
FPT,2011/01/03,S,19
FSE,2011/01/03,S,4
FSR,2011/01/03,B,844
FSR,2011/01/03,S,754
FSRP,2011/01/03,S,7
FSRSBD,2011/01/03,S,8
FSRSBP,2011/01/03,S,1
FSRSTE,2011/01/03,B,9
FST,2011/01/03,B,1
FSY,2011/01/03,B,1
FVT,2011/01/03,B,2
FWD,2011/01/03,B,2
FWD,2011/01/03,S,2
FWX,2011/01/03,B,1
GDO,2011/01/03,B,7
GDO,2011/01/03,S,5
GFI,2011/01/03,B,631
GFI,2011/01/03,S,405
GFISBD,2011/01/03,S,6
GIJ,2011/01/03,B,5
GIJ,2011/01/03,S,8
GLD,2011/01/03,B,51
GLD,2011/01/03,S,41
GMB,2011/01/03,S,2
GND,2011/01/03,B,114
GND,2011/01/03,S,35
GNDP,2011/01/03,S,3
GPL,2011/01/03,S,1
GRF,2011/01/03,B,105
GRF,2011/01/03,S,173
GRT,2011/01/03,B,388
GRT,2011/01/03,S,374
GRTSIG,2011/01/03,S,1
HAR,2011/01/03,B,481
HAR,2011/01/03,S,327
HARSBC,2011/01/03,B,1
HARSBC,2011/01/03,S,19
HCI,2011/01/03,S,1
HDC,2011/01/03,B,19
HDC,2011/01/03,S,2
HLM,2011/01/03,B,22
HLM,2011/01/03,S,18
HPA,2011/01/03,S,1
HPB,2011/01/03,B,2
HPB,2011/01/03,S,5
HUG,2011/01/03,B,1
HUG,2011/01/03,S,1
HYP,2011/01/03,B,14
HYP,2011/01/03,S,29
IFC,2011/01/03,B,1
ILA,2011/01/03,B,4
ILV,2011/01/03,B,24
ILV,2011/01/03,S,27
IMP,2011/01/03,B,763
IMP,2011/01/03,S,430
IMPSBF,2011/01/03,B,1
IMPSBF,2011/01/03,S,2
IMU,2011/01/03,B,1
INL,2011/01/03,B,363
INL,2011/01/03,S,217
INLIHD,2011/01/03,S,1
INLNID,2011/01/03,B,1
INLNID,2011/01/03,S,2
INP,2011/01/03,B,483
INP,2011/01/03,S,200
INPNIG,2011/01/03,B,1
INPR,2011/01/03,B,8
INPR,2011/01/03,S,4
INPSBN,2011/01/03,S,2
INPSTE,2011/01/03,B,1
INPSTE,2011/01/03,S,4
IPL,2011/01/03,B,339
IPL,2011/01/03,S,283
IPLP,2011/01/03,B,1
ISA,2011/01/03,B,1
IVD,2011/01/03,B,1
IVT,2011/01/03,B,3
IWE,2011/01/03,B,2
IWE,2011/01/03,S,2
JBL,2011/01/03,B,1
JBL,2011/01/03,S,1
JDG,2011/01/03,B,96
JDG,2011/01/03,S,87
JSC,2011/01/03,S,5
JSE,2011/01/03,B,165
JSE,2011/01/03,S,108
KAH,2011/01/03,B,1
KEH,2011/01/03,B,26
KEH,2011/01/03,S,11
KEL,2011/01/03,B,33
KEL,2011/01/03,S,13
KGM,2011/01/03,S,3
KIO,2011/01/03,B,814
KIO,2011/01/03,S,539
KIOSBL,2011/01/03,B,2
KR,2011/01/03,S,1
KRHT,2011/01/03,S,1
LBH,2011/01/03,B,313
LBH,2011/01/03,S,31
LEW,2011/01/03,B,114
LEW,2011/01/03,S,107
LEWSTD,2011/01/03,B,1
LEWSTD,2011/01/03,S,2
LHC,2011/01/03,B,66
LHC,2011/01/03,S,31
LHG,2011/01/03,B,10
LHG,2011/01/03,S,26
LON,2011/01/03,B,126
LON,2011/01/03,S,31
MDC,2011/01/03,B,6
MDC,2011/01/03,S,19
MFL,2011/01/03,B,7
MFL,2011/01/03,S,1
MMH,2011/01/03,B,5
MMH,2011/01/03,S,5
MMI,2011/01/03,B,237
MMI,2011/01/03,S,397
MML,2011/01/03,B,2
MML,2011/01/03,S,2
MMS,2011/01/03,B,1
MND,2011/01/03,B,159
MND,2011/01/03,S,131
MNP,2011/01/03,B,121
MNP,2011/01/03,S,57
MOB,2011/01/03,S,1
MPC,2011/01/03,B,177
MPC,2011/01/03,S,178
MRF,2011/01/03,B,75
MRF,2011/01/03,S,72
MSM,2011/01/03,B,642
MSM,2011/01/03,S,282
MST,2011/01/03,B,1
MST,2011/01/03,S,10
MTA,2011/01/03,B,6
MTA,2011/01/03,S,1
MTL,2011/01/03,S,2
MTN,2011/01/03,B,990
MTN,2011/01/03,S,671
MTNSBG,2011/01/03,B,1
MTNSBS,2011/01/03,B,2
MTNSBS,2011/01/03,S,2
MTX,2011/01/03,B,295
MTX,2011/01/03,S,146
MUR,2011/01/03,B,339
MUR,2011/01/03,S,322
MVG,2011/01/03,B,44
MVG,2011/01/03,S,179
MVL,2011/01/03,B,30
MVL,2011/01/03,S,22
MVS,2011/01/03,B,4
MVS,2011/01/03,S,3
MZR,2011/01/03,S,3
NBK,2011/01/03,B,1
NBKP,2011/01/03,S,4
NED,2011/01/03,B,417
NED,2011/01/03,S,265
NEDIHC,2011/01/03,B,2
NEDIHC,2011/01/03,S,1
NEDSBE,2011/01/03,B,1
NEDSBE,2011/01/03,S,1
NEDSTE,2011/01/03,B,11
NEDSTE,2011/01/03,S,7
NEWFSA,2011/01/03,S,4
NFSH40,2011/01/03,B,2
NFSH40,2011/01/03,S,1
NHM,2011/01/03,B,70
NHM,2011/01/03,S,26
NPK,2011/01/03,B,158
NPK,2011/01/03,S,121
NPN,2011/01/03,B,953
NPN,2011/01/03,S,386
NPNSBO,2011/01/03,B,2
NPNSBO,2011/01/03,S,3
NRD,2011/01/03,S,3
NT1,2011/01/03,S,2
NTC,2011/01/03,B,252
NTC,2011/01/03,S,147
NTCP,2011/01/03,S,2
NWL,2011/01/03,B,16
NWL,2011/01/03,S,3
OAO,2011/01/03,B,1
OAS,2011/01/03,S,3
OCE,2011/01/03,B,6
OCG,2011/01/03,B,1
OCT,2011/01/03,B,5
OCT,2011/01/03,S,11
OILSBA,2011/01/03,B,1
OILSBA,2011/01/03,S,1
OLG,2011/01/03,B,5
OLM,2011/01/03,B,2
OML,2011/01/03,B,383
OML,2011/01/03,S,346
OMLNIH,2011/01/03,S,1
OMLSBB,2011/01/03,B,2
OMLSBB,2011/01/03,S,2
OMN,2011/01/03,B,9
OMN,2011/01/03,S,15
OPT,2011/01/03,B,15
OPT,2011/01/03,S,16
PAM,2011/01/03,B,35
PAM,2011/01/03,S,4
PAN,2011/01/03,B,9
PAN,2011/01/03,S,27
PAP,2011/01/03,B,2
PAP,2011/01/03,S,6
PDN,2011/01/03,B,1
PET,2011/01/03,B,21
PET,2011/01/03,S,7
PFG,2011/01/03,B,3
PFG,2011/01/03,S,12
PGFP,2011/01/03,B,4
PGFP,2011/01/03,S,1
PGL,2011/01/03,B,16
PGL,2011/01/03,S,10
PHM,2011/01/03,S,9
PIK,2011/01/03,B,453
PIK,2011/01/03,S,275
PKH,2011/01/03,B,4
PKH,2011/01/03,S,1
PLD,2011/01/03,B,8
PLL,2011/01/03,B,5
PMM,2011/01/03,B,1
PNC,2011/01/03,B,16
PNC,2011/01/03,S,20
PNG,2011/01/03,B,65
PPC,2011/01/03,B,267
PPC,2011/01/03,S,210
PPCIHJ,2011/01/03,B,1
PPCIHJ,2011/01/03,S,3
PPCSTF,2011/01/03,B,1
PPCSTF,2011/01/03,S,1
PSG,2011/01/03,B,3
PSG,2011/01/03,S,8
PSV,2011/01/03,B,3
PTXSPY,2011/01/03,B,6
PWK,2011/01/03,B,59
PWK,2011/01/03,S,16
RACP,2011/01/03,S,1
RAFFIN,2011/01/03,S,2
RAFIND,2011/01/03,S,2
RAFISA,2011/01/03,B,1
RAFISA,2011/01/03,S,2
RAFRES,2011/01/03,S,2
RAR,2011/01/03,S,3
RBA,2011/01/03,B,2
RBP,2011/01/03,B,11
RBP,2011/01/03,S,14
RBW,2011/01/03,B,1
RBX,2011/01/03,B,16
RBX,2011/01/03,S,7
RDF,2011/01/03,B,178
RDF,2011/01/03,S,103
RDFIHC,2011/01/03,B,2
RDFSTA,2011/01/03,S,4
REI,2011/01/03,B,117
REI,2011/01/03,S,129
REM,2011/01/03,B,436
REM,2011/01/03,S,325
RES,2011/01/03,B,11
RES,2011/01/03,S,4
RIN,2011/01/03,B,2
RIN,2011/01/03,S,3
RLF,2011/01/03,B,4
RLO,2011/01/03,B,251
RLO,2011/01/03,S,112
RMH,2011/01/03,B,772
RMH,2011/01/03,S,426
RNG,2011/01/03,B,2
RNG,2011/01/03,S,1
SAB,2011/01/03,B,337
SAB,2011/01/03,S,292
SAC,2011/01/03,B,19
SAC,2011/01/03,S,18
SAL,2011/01/03,B,1
SAL,2011/01/03,S,1
SAN,2011/01/03,B,2
SAN,2011/01/03,S,1
SAP,2011/01/03,B,256
SAP,2011/01/03,S,179
SBAG1,2011/01/03,S,1
SBAPL1,2011/01/03,B,1
SBG,2011/01/03,B,19
SBG,2011/01/03,S,8
SBK,2011/01/03,B,1065
SBK,2011/01/03,S,664
SBKNII,2011/01/03,B,1
SBKNNG,2011/01/03,B,3
SBKSBH,2011/01/03,S,1
SBKSBI,2011/01/03,B,14
SBPP,2011/01/03,B,3
SBPP,2011/01/03,S,4
SCL,2011/01/03,B,54
SCL,2011/01/03,S,53
SEP,2011/01/03,B,23
SEP,2011/01/03,S,32
SER,2011/01/03,B,2
SFH,2011/01/03,B,2
SFH,2011/01/03,S,2
