TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
ABSP,2016/01/04,B,2
ABSP,2016/01/04,S,7
ACG,2016/01/04,B,20
ACG,2016/01/04,S,30
ACL,2016/01/04,B,189
ACL,2016/01/04,S,329
ACLN,2016/01/04,B,17
ACLN,2016/01/04,S,5
ACT,2016/01/04,B,10
ACT,2016/01/04,S,7
ADE,2016/01/04,S,1
ADH,2016/01/04,B,98
ADH,2016/01/04,S,78
ADI,2016/01/04,B,59
ADI,2016/01/04,S,27
ADR,2016/01/04,B,21
ADR,2016/01/04,S,34
ADW,2016/01/04,B,5
ADW,2016/01/04,S,4
AEG,2016/01/04,B,94
AEG,2016/01/04,S,155
AEL,2016/01/04,S,1
AEN,2016/01/04,B,3
AEN,2016/01/04,S,9
AER,2016/01/04,S,3
AFE,2016/01/04,B,334
AFE,2016/01/04,S,379
AFH,2016/01/04,B,157
AFH,2016/01/04,S,136
AFT,2016/01/04,B,1
AFT,2016/01/04,S,9
AFX,2016/01/04,S,1
AGL,2016/01/04,B,1491
AGL,2016/01/04,S,1275
AGLSBP,2016/01/04,S,1
AGLSTL,2016/01/04,S,1
AIP,2016/01/04,B,45
AIP,2016/01/04,S,60
ALH,2016/01/04,B,2
AME,2016/01/04,S,1
AMS,2016/01/04,B,1359
AMS,2016/01/04,S,1497
AMSSBC,2016/01/04,B,1
AMSSBC,2016/01/04,S,22
ANG,2016/01/04,B,1483
ANG,2016/01/04,S,1291
ANGSBG,2016/01/04,B,3
ANGSBG,2016/01/04,S,3
ANGSBH,2016/01/04,S,4
ANGSBU,2016/01/04,B,1
ANGSBU,2016/01/04,S,2
ANGSTL,2016/01/04,S,1
ANM,2016/01/04,S,1
ANS,2016/01/04,B,6
ANS,2016/01/04,S,4
AOX,2016/01/04,S,1
APF,2016/01/04,B,1
APF,2016/01/04,S,10
APN,2016/01/04,B,2020
APN,2016/01/04,S,2156
AQP,2016/01/04,B,32
AQP,2016/01/04,S,39
ARA,2016/01/04,B,36
ARA,2016/01/04,S,37
ARI,2016/01/04,B,176
ARI,2016/01/04,S,238
ARL,2016/01/04,B,333
ARL,2016/01/04,S,258
ART,2016/01/04,B,2
ART,2016/01/04,S,10
ASC,2016/01/04,B,30
ASC,2016/01/04,S,33
ASR,2016/01/04,B,43
ASR,2016/01/04,S,105
ATL,2016/01/04,B,1
ATL,2016/01/04,S,4
ATT,2016/01/04,B,124
ATT,2016/01/04,S,135
AVI,2016/01/04,B,515
AVI,2016/01/04,S,585
AVL,2016/01/04,B,5
AVL,2016/01/04,S,4
AWA,2016/01/04,B,10
AWA,2016/01/04,S,18
AWB,2016/01/04,B,18
AWB,2016/01/04,S,19
B2G,2016/01/04,B,1
BAT,2016/01/04,B,1102
BAT,2016/01/04,S,754
BATP,2016/01/04,B,1
BATP,2016/01/04,S,1
BAW,2016/01/04,B,934
BAW,2016/01/04,S,587
BBET40,2016/01/04,B,2
BBET40,2016/01/04,S,3
BCF,2016/01/04,B,1
BDM,2016/01/04,B,3
BDM,2016/01/04,S,2
BEL,2016/01/04,B,2
BGA,2016/01/04,B,1754
BGA,2016/01/04,S,1854
BGREEN,2016/01/04,B,1
BIL,2016/01/04,B,3009
BIL,2016/01/04,S,2320
BILSTM,2016/01/04,S,5
BLU,2016/01/04,B,205
BLU,2016/01/04,S,157
BMN,2016/01/04,B,1
BNPASI,2016/01/04,B,2
BNPEUR,2016/01/04,B,2
BNPUSA,2016/01/04,B,2
BNPWOR,2016/01/04,B,2
BSR,2016/01/04,B,3
BSR,2016/01/04,S,2
BTI,2016/01/04,B,832
BTI,2016/01/04,S,768
BTISTD,2016/01/04,S,1
BVT,2016/01/04,B,1274
BVT,2016/01/04,S,1140
BWH,2016/01/04,S,1
BWL,2016/01/04,S,1
BWN,2016/01/04,B,4
BWN,2016/01/04,S,14
CAT,2016/01/04,B,37
CAT,2016/01/04,S,26
CCO,2016/01/04,B,606
CCO,2016/01/04,S,536
CFR,2016/01/04,B,1558
CFR,2016/01/04,S,1493
CGN,2016/01/04,B,1
CGR,2016/01/04,B,11
CGR,2016/01/04,S,8
CHP,2016/01/04,B,11
CHP,2016/01/04,S,6
CIL,2016/01/04,B,42
CIL,2016/01/04,S,58
